round_epochs,val_loss,val_categorical_accuracy,val_fbeta_score,val_fmeasure,loss,categorical_accuracy,fbeta_score,fmeasure,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,weight_regulizer,emb_output_dims,optimizer,losses,activation
300,2.203022003173828,0.0,0.0,0.0,2.200692892074585,1.0,0.3684210181236267,0.17948713898658752,0.0001,64,4,16,300,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.296623706817627,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.3849025624138968,0.20103068436895097,0.0001,64,2,4,200,0.16,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.4282703399658203,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.5292664468288422,0.31916095529283794,0.0001,128,2,2,200,0.12,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
300,2.212949275970459,0.0,0.0,0.0,2.1930363178253174,0.8571428656578064,0.5319148302078247,0.2631578743457794,0.0001,8,5,16,300,0.32,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.3123974800109863,0.0,0.0,0.0,2.1674365316118513,1.0,0.48969018885067533,0.32129770517349243,0.0001,32,4,2,100,0.36,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.2102017402648926,0.0,0.0,0.0,2.194749593734741,1.0,0.4455445110797882,0.19999995827674866,0.0001,16,6,128,200,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.243844509124756,0.0,0.0,0.0,2.1800476482936313,1.0,0.5744741984776088,0.32972785404750277,0.0001,64,6,4,200,0.32,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
100,2.1991233825683594,0.0,0.0,0.0,2.1980488300323486,1.0,0.37634405493736267,0.189189150929451,0.0001,64,5,32,100,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.2271857261657715,0.0,0.0,0.0,2.1879585129874095,0.7142857270581382,0.3782603783266885,0.25800863227673937,0.0001,32,3,3,200,0.04,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.2385849952697754,0.0,0.0,0.0,2.1811472177505493,0.5714285884584699,0.48256375534193857,0.2996075132063457,0.0001,128,6,3,200,0.2,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
100,2.2262015342712402,0.0,0.0,0.0,2.188147102083479,0.6428571428571429,0.3873393067291805,0.2849848142692021,0.0001,16,2,4,100,0.0,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
300,2.202998638153076,0.0,0.0,0.0,2.1963999271392822,1.0,0.5499998927116394,0.2499999850988388,0.0001,64,5,128,300,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.297029495239258,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.4093576967716217,0.24421766826084682,0.0001,32,4,2,200,0.36,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.2017598152160645,0.0,0.0,0.0,2.196491003036499,0.9285714030265808,0.3684210181236267,0.17948713898658752,0.0001,8,2,16,200,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.2220821380615234,0.0,0.0,0.0,2.1933693204607283,1.0,0.2884615319115775,0.16428569384983607,0.0001,32,4,4,200,0.2,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
300,2.222688674926758,0.0,0.0,0.0,2.203498363494873,1.0,0.05434780567884445,0.027777748182415962,0.0001,32,3,128,300,0.2,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.2577290534973145,0.0,0.0,0.0,2.173129149845668,1.0,0.588803095476968,0.3461538148777826,0.0001,4,2,3,200,0.08,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
300,2.207852840423584,0.0,0.0,0.0,2.1966397762298584,1.0,0.36269429326057434,0.1728394627571106,0.0001,16,2,16,300,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.4016244411468506,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.3493390253611973,0.20934061706066132,0.0001,4,3,4,200,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
200,2.216249942779541,0.0,0.0,0.0,8.96260971785523e-05,1.0,0.3888888657093048,0.20588231086730957,0.0001,4,5,128,200,0.24,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
100,2.2940173149108887,0.0,0.0,0.0,2.180772508893694,1.0,0.4506738143307822,0.24489792117050715,0.0001,32,3,4,100,0.16,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
300,2.2265260219573975,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.27172826869147165,0.13913041991846903,0.0001,8,6,4,300,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
100,2.2017362117767334,0.0,0.0,0.0,0.0020388923585414886,1.0,0.4494381844997406,0.24242421984672546,0.0001,4,3,16,100,0.08,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
100,2.2033581733703613,0.0,0.0,0.0,2.1951096057891846,0.9285714030265808,0.4901960790157318,0.21739129722118378,0.0001,16,4,32,100,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
100,2.2584521770477295,0.0,0.0,0.0,2.1797801767076765,0.2857142857142857,0.3112984299659729,0.21020405633108957,0.0001,8,2,2,100,0.28,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.2279586791992188,0.0,0.0,0.0,2.18387086050851,0.6428571428571429,0.5573965651648385,0.3007214665412903,0.0001,64,2,4,200,0.2,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.2066538333892822,0.0,0.0,0.0,2.194997617176601,0.7857142857142857,0.37639858041490826,0.18936299426215036,0.0001,4,2,4,200,0.2,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.2616400718688965,0.0,0.0,0.0,2.1878286259514943,1.0,0.43936210232121603,0.30297617082084927,0.0001,32,3,3,200,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.216954469680786,0.0,0.0,0.0,2.1847911221640453,0.6428571428571429,0.4791967272758484,0.3019480151789529,0.0001,16,2,4,200,0.32,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.212632656097412,0.0,0.0,0.0,2.198789119720459,0.9285714030265808,0.3124999403953552,0.14999999105930328,0.0001,4,6,128,100,0.32,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.1938796043395996,0.0,0.0,0.0,2.195291042327881,0.9285714030265808,0.3684210181236267,0.17948713898658752,0.0001,128,2,32,200,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.2079334259033203,0.0,0.0,0.0,0.0009064184851013124,1.0,0.4687499701976776,0.22499997913837433,0.0001,4,4,128,200,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.2968239784240723,0.0,0.0,0.0,5.888123626261534e-06,1.0,0.4579215667077473,0.25959850528410505,0.0001,16,6,3,200,0.0,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.1992528438568115,0.0,0.0,0.0,2.200371265411377,1.0,0.16216214001178741,0.08219175040721893,0.0001,8,2,128,200,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
100,2.210458517074585,0.0,0.0,0.0,2.1989212036132812,1.0,0.3124999403953552,0.14999999105930328,0.0001,8,3,16,100,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.2028965950012207,0.0,0.0,0.0,2.206306219100952,1.0,0.10810808837413788,0.05479448661208153,0.0001,32,2,16,200,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.2151360511779785,0.0,0.0,0.0,2.1827470575060164,0.6428571535008294,0.5295173908982959,0.3208992374794824,0.0001,8,2,3,200,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
300,2.2436742782592773,0.0,0.0,0.0,2.1880860328674316,1.0,0.3924029895237514,0.21452056297234126,0.0001,16,2,4,300,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.2261147499084473,0.0,0.0,0.0,2.1927997384752547,0.5,0.378856429031917,0.19333113517080033,0.0001,4,2,4,100,0.16,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.2040693759918213,0.0,0.0,0.0,2.189262662615095,0.6428571428571429,0.40114906430244446,0.23518515058926173,0.0001,64,5,4,200,0.32,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.366150379180908,0.0,0.0,0.0,0.00024305645326551582,1.0,0.5700387103216988,0.32077918308121817,0.0001,128,5,4,100,0.32,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.222715377807617,0.0,0.0,0.0,2.196416139602661,1.0,0.2185792326927185,0.11267603188753128,0.0001,32,5,128,200,0.36,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.1977851390838623,0.0,0.0,0.0,2.1993720531463623,0.8571428656578064,0.2222222089767456,0.11764702945947647,0.0001,32,6,32,200,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.211918354034424,0.0,0.0,0.0,2.1994688510894775,0.9285714030265808,0.2617800831794739,0.12658226490020752,0.0001,16,4,32,200,0.12,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
300,2.214970588684082,0.0,0.0,0.0,2.1976635456085205,1.0,0.2298850566148758,0.1290322244167328,0.0001,16,3,128,300,0.28,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
300,2.364192247390747,0.0,0.0,0.0,2.167858975274222,1.0,0.43062740564346313,0.22222219620432174,0.0001,8,2,2,300,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.2562739849090576,0.0,0.0,0.0,2.1772535358156477,1.0,0.5568825730255672,0.2966552919575146,0.0001,16,2,3,200,0.24,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
300,2.264634370803833,0.0,0.0,0.0,2.173780986240932,1.0,0.5676276726382119,0.3133859229939325,0.0001,4,5,4,300,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.215542793273926,0.0,0.0,0.0,2.194103956222534,1.0,0.4687499701976776,0.22499997913837433,0.0001,16,5,128,200,0.08,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.224757671356201,0.0,0.0,0.0,2.188525523458208,0.4285714349576405,0.35997435450553894,0.22989507604922568,0.0001,64,6,3,200,0.28,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.2495477199554443,0.0,0.0,0.0,2.1748383385794505,0.42857142857142855,0.5217948641095843,0.29920631434236256,0.0001,128,5,4,100,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
300,2.3290562629699707,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.503431247813361,0.27040145439761026,0.0001,32,2,4,300,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
300,2.205643892288208,0.0,0.0,0.0,2.196470022201538,0.9285714030265808,0.5025125741958618,0.2298850119113922,0.0001,128,3,16,300,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.229825973510742,0.0,0.0,0.0,2.1806154251098633,0.5,0.4791925294058664,0.2930838657276971,0.0001,128,4,2,200,0.2,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.473534107208252,0.0,0.0,0.0,2.16685117994036,1.0,0.46196570353848593,0.2621663734316826,0.0001,128,5,3,100,0.36,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
100,2.214202642440796,0.0,0.0,0.0,0.00284569151699543,1.0,0.10928960144519806,0.05633799731731415,0.0001,16,2,16,100,0.32,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.254286289215088,0.0,0.0,0.0,2.1729530606951033,1.0,0.477351324898856,0.30034010112285614,0.0001,32,2,2,200,0.32,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.349442481994629,0.0,0.0,0.0,2.1722786256245206,1.0,0.35070784602846417,0.20329668479306356,0.0001,64,3,3,200,0.12,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,3.205528736114502,0.0,0.0,0.0,2.1506365707942416,1.0,0.5240618501390729,0.31020404185567585,0.0001,32,3,2,200,0.36,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
100,2.2134079933166504,0.0,0.0,0.0,2.1849101952144077,1.0,0.46925693324634005,0.22772106847592763,0.0001,4,2,3,100,0.24,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
300,2.6899259090423584,0.0,0.0,0.0,2.143765824181693,1.0,0.36056335057531086,0.22414962947368622,0.0001,8,6,2,300,0.12,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
300,2.287416934967041,0.0,0.0,0.0,2.183772563934326,1.0,0.43378103205135893,0.22193360115800584,0.0001,16,2,2,300,0.24,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
300,2.23889422416687,0.0,0.0,0.0,2.18637752532959,0.6428571428571429,0.34790279609816416,0.20232890120574407,0.0001,64,6,4,300,0.0,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
100,2.2075998783111572,0.0,0.0,0.0,2.1955318450927734,1.0,0.44198891520500183,0.23188401758670807,0.0001,16,4,16,100,0.36,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
300,2.2331199645996094,0.0,0.0,0.0,2.1854482889175415,0.5000000063862119,0.5372362072978701,0.27219384589365553,0.0001,16,3,3,300,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function relu at 0x000002311C277378>
200,2.245326519012451,0.0,0.0,0.0,2.170654194695609,1.0,0.5306776549134936,0.2665816087807928,0.0001,4,2,3,200,0.2,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
100,2.2533156871795654,0.0,0.0,0.0,2.1756560802459717,1.0,0.607012037719999,0.3269016348889896,0.0001,4,4,3,100,0.04,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
300,2.2029218673706055,0.0,0.0,0.0,2.200786590576172,1.0,0.2590673267841339,0.12345676124095917,0.0001,16,2,128,300,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
100,2.211667060852051,0.0,0.0,0.0,0.0016202075639739633,1.0,0.30927833914756775,0.1463414430618286,0.0001,128,3,128,100,0.36,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.2972962856292725,0.0,0.0,0.0,2.1803001505987987,1.0,0.4126642048358917,0.25140052661299706,0.0001,4,4,3,200,0.12,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
100,2.544682264328003,0.0,0.0,0.0,1.1920928955078125e-07,1.0,0.3456043984208788,0.19603171944618225,0.0001,8,3,2,100,0.36,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
200,2.214958429336548,0.0,0.0,0.0,2.198049783706665,1.0,0.4188481569290161,0.2025316208600998,0.0001,128,2,32,200,0.12,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
200,2.253596067428589,0.0,0.0,0.0,9.308751292077691e-05,1.0,0.39682541149003164,0.2207791954278946,0.0001,16,5,2,200,0.32,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function tanh at 0x000002311C277400>
200,2.2518205642700195,0.0,0.0,0.0,2.4012219910218846e-06,1.0,0.4578275169645037,0.2566374029432024,0.0001,8,4,4,200,0.28,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function elu at 0x000002311C277158>
100,6.013521194458008,0.0,0.0,0.0,2.1247949259621755,1.0,0.47343952315194265,0.2886723982436316,0.0001,64,3,2,100,0.28,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
100,2.2068288326263428,0.0,0.0,0.0,2.1952576637268066,1.0,0.4060913622379303,0.18823526799678802,0.0001,16,5,128,100,0.16,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.19718074798584,0.0,0.0,0.0,2.203540563583374,1.0,0.2604166567325592,0.12499997764825821,0.0001,128,6,16,200,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
300,2.203326463699341,0.0,0.0,0.0,1.0856568906092434e-06,1.0,0.2808988690376282,0.15151512622833252,0.0001,128,5,128,300,0.28,None,None,<class 'keras.optimizers.RMSprop'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
100,2.2107958793640137,0.0,0.0,0.0,2.185235227857317,0.5,0.4604154995509556,0.2617394434554236,0.0001,32,4,4,100,0.08,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function relu at 0x000002311C277378>
200,2.2202978134155273,0.0,0.0,0.0,2.1980998516082764,1.0,0.3867402970790863,0.20289850234985352,0.0001,128,2,128,200,0.04,None,None,<class 'keras.optimizers.RMSprop'>,<function categorical_crossentropy at 0x000002311C23C598>,<function elu at 0x000002311C277158>
200,2.2467076778411865,0.0,0.0,0.0,0.00048247068688007336,1.0,0.4458264878817967,0.24288667951311385,0.0001,4,2,4,200,0.12,None,None,<class 'keras.optimizers.Nadam'>,<function logcosh at 0x000002311C23C510>,<function tanh at 0x000002311C277400>
